id,car_number,round_id,team_driver_id
730,4,30,291
731,38,30,300
732,8,30,361
733,35,30,388
734,12,30,356
735,26,30,389
736,23,30,390
737,9,30,296
738,11,30,297
739,14,30,372
740,28,30,391
741,34,30,392
742,41,30,393
743,10,30,298
744,15,30,359
745,32,30,394
746,21,30,395
747,30,30,396
748,46,31,291
749,24,31,304
750,26,31,294
751,32,31,303
752,32,31,302
753,34,31,397
754,28,31,292
755,20,31,358
756,40,31,398
757,18,31,399
758,4,31,400
759,42,31,351
760,36,31,361
761,8,31,298
762,6,31,296
763,30,31,302
764,30,31,303
765,16,31,360
766,38,31,401
767,14,31,363
768,2,31,381
769,10,31,352
770,50,32,302
771,6,32,304
772,2,32,292
773,8,32,294
774,36,32,298
775,40,32,357
776,56,32,402
777,56,32,403
778,10,32,404
779,38,32,297
780,32,32,370
781,44,32,405
782,46,32,300
783,28,32,371
784,48,32,395
785,16,32,369
786,64,32,352
787,4,32,291
788,52,32,303
789,54,32,361
790,58,32,351
791,20,32,406
792,30,32,358
793,24,32,355
794,12,32,407
795,22,32,359
796,2,32,400
797,34,32,373
798,18,32,408
799,26,32,356
800,14,32,360
801,2,33,409
802,10,33,410
803,12,33,411
804,26,33,412
805,20,33,413
806,28,33,414
807,8,33,415
808,30,33,416
809,16,33,417
810,18,33,418
811,14,33,419
812,4,33,420
813,32,33,421
814,22,33,422
815,34,33,423
816,24,33,424
817,6,33,425
818,36,33,426
819,14,34,427
820,9,34,428
821,2,34,429
822,34,34,430
823,34,34,431
824,73,34,432
825,77,34,433
826,7,34,434
827,5,34,435
828,5,34,436
829,28,34,437
830,24,34,438
831,45,34,439
832,45,34,440
833,45,34,441
834,45,34,442
835,45,34,443
836,98,34,444
837,98,34,445
838,88,34,446
839,17,34,447
840,16,34,431
841,16,34,448
842,16,34,449
843,16,34,450
844,32,34,451
845,25,34,452
846,27,34,453
847,27,34,454
848,71,34,455
849,71,34,456
850,1,34,439
851,1,34,457
852,1,34,442
853,35,34,458
854,12,34,459
855,12,34,460
856,31,34,450
857,31,34,461
858,43,34,462
859,43,34,463
860,43,34,464
861,74,34,465
862,74,34,466
863,99,34,435
864,19,34,467
865,38,34,457
866,38,34,468
867,10,34,448
868,65,34,469
869,65,34,470
870,33,34,471
871,33,34,472
872,15,34,441
873,51,34,473
874,26,35,409
875,8,35,412
876,22,35,474
877,10,35,411
878,10,35,419
879,18,35,475
880,20,35,415
881,30,35,476
882,4,35,410
883,16,35,477
884,12,35,418
885,28,35,420
886,6,35,411
887,2,35,478
888,24,35,421
889,18,36,479
890,20,36,480
891,34,36,481
892,46,36,415
893,14,36,482
894,24,36,418
895,28,36,477
896,4,36,412
897,36,36,424
898,12,36,420
899,16,36,421
900,42,36,483
901,48,36,414
902,22,36,484
903,44,36,485
904,2,36,411
905,32,36,486
906,30,36,487
907,6,36,419
908,26,36,488
909,10,36,489
910,40,36,476
911,9,37,411
912,11,37,419
913,33,37,420
914,1,37,479
915,10,37,412
916,4,37,421
917,2,37,480
918,8,37,483
919,19,37,475
920,29,37,490
921,25,37,491
922,3,37,414
923,23,37,492
924,26,37,493
925,28,37,494
926,7,37,474
927,22,37,495
928,17,37,418
929,5,37,485
930,6,37,496
931,6,37,415
932,32,37,482
933,32,37,489
934,24,37,497
935,12,37,498
936,31,37,489
937,18,37,499
938,20,37,500
939,14,37,481
940,21,37,501
941,30,37,502
942,15,37,424
943,27,37,503
944,30,37,504
945,18,38,479
946,1,38,419
947,1,38,411
948,2,38,412
949,19,38,480
950,7,38,476
951,4,38,505
952,15,38,414
953,25,38,424
954,24,38,481
955,9,38,418
956,14,38,415
957,21,38,506
958,11,38,499
959,22,38,507
960,20,38,484
961,10,38,477
962,3,38,419
963,8,38,421
964,16,38,474
