id,reference,name,nationality,wikipedia,base_team_id,country_code
165,minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi,,ITA
181,moda,Andrea Moda,Italian,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,,ITA
23,moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor),,USA
22,nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels,,USA
15,olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor),,USA
174,onyx,Onyx,British,http://en.wikipedia.org/wiki/Onyx_(racing_team),,GBR
35,osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,,ITA
161,osella,Osella,Italian,http://en.wikipedia.org/wiki/Osella,,ITA
183,pacific,Pacific,British,http://en.wikipedia.org/wiki/Pacific_Racing,,GBR
46,pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz,,USA
140,parnelli,Parnelli,American,http://en.wikipedia.org/wiki/Parnelli,,USA
30,pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor),,USA
139,penske,Penske,American,http://en.wikipedia.org/wiki/Penske_Racing,,USA
47,phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor),,USA
128,politoys,Politoys,British,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,,GBR
57,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,,DEU
187,prost,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix,,FRA
114,protos,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor),,GBR
208,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,,GBR
16,rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport),,USA
163,ram,RAM,British,http://en.wikipedia.org/wiki/RAM_Racing,,GBR
211,rb,RB F1 Team,Italian,http://en.wikipedia.org/wiki/RB_Formula_One_Team,,ITA
100,re,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29,,RSR
160,rebaque,Rebaque,Mexican,http://en.wikipedia.org/wiki/Rebaque,,MEX
191,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,,AUT
152,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,,FRA
173,rial,Rial,German,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,,DEU
182,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber_Motorsport,,CHE
71,scarab,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor),,USA
29,schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor),,USA
90,scirocco,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell,,GBR
131,shadow,Shadow,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,,GBR
143,shadow-ford,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,,GBR
145,shadow-matra,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,,GBR
108,shannon,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One),,GBR
33,sherman,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor),,USA
8,simca,Simca,French,http://en.wikipedia.org/wiki/Simca,,FRA
184,simtek,Simtek,British,http://en.wikipedia.org/wiki/Simtek,,GBR
13,snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger,,USA
164,spirit,Spirit,British,http://en.wikipedia.org/wiki/Spirit_(racing_team),,GBR
197,spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1,,NLD
196,spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing,,NLD
93,stebro,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro,,CAN
20,stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor),,USA
186,stewart,Stewart,British,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,,GBR
193,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1,,JPN
122,surtees,Surtees,British,http://en.wikipedia.org/wiki/Surtees,,GBR
63,sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor),,USA
58,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,,GBR
68,tec-mec,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec,,ITA
127,tecno,Tecno,Italian,http://en.wikipedia.org/wiki/Tecno,,ITA
155,theodore,Theodore,Hong Kong,http://en.wikipedia.org/wiki/Theodore_Racing,,HKG
136,token,Token,British,http://en.wikipedia.org/wiki/Token_(Racing_team),,GBR
162,toleman,Toleman,British,http://en.wikipedia.org/wiki/Toleman,,GBR
85,tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso,,ITA
195,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,,ITA
190,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,,JPN
27,trevis,Trevis,American,http://en.wikipedia.org/wiki/Trevis,,USA
135,trojan,Trojan,British,http://en.wikipedia.org/wiki/Trojan_(Racing_team),,GBR
43,turner,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor),,USA
123,tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing,,GBR
49,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,,GBR
26,veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor),,DEU
61,vhristensen,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor),,USA
201,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing,,GBR
9,watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson,,USA
14,wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth,,USA
141,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,,GBR
148,wolf,Wolf,Canadian,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,,CAN
166,zakspeed,Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed,,DEU
