id,position,is_classified,status,detail,points,is_eligible_for_points,grid,time,fastest_lap_rank,laps_completed,round_entry_id,session_id
39609,15,,,,,t,,,,,24554,3971
39610,15,,,,,t,,,,,24554,3972
39611,15,t,1,+2 Laps,0,t,17,,20,69,24555,3970
39612,17,,,,,t,,,,,24555,3971
39613,16,t,1,+2 Laps,0,t,19,,17,69,24556,3970
39614,19,,,,,t,,,,,24556,3971
39615,17,t,1,+2 Laps,0,t,18,,18,69,24557,3970
39616,18,,,,,t,,,,,24557,3971
39617,18,t,1,+2 Laps,0,t,20,,13,69,24558,3970
39618,20,,,,,t,,,,,24558,3971
39619,19,f,11,Overheating,0,t,14,,8,58,24559,3970
39620,14,,,,,t,,,,,24559,3971
39621,14,,,,,t,,,,,24559,3972
39622,20,f,30,Withdrew,0,t,8,,19,48,24560,3970
39623,8,,,,,t,,,,,24560,3971
39624,8,,,,,t,,,,,24560,3972
39625,8,,,,,t,,,,,24560,3973
39626,1,t,0,Finished,25,t,1,01:33:55.653,2,56,24561,3977
39627,1,,,,,t,,,,,24561,3978
39628,1,,,,,t,,,,,24561,3979
39629,1,,,,,t,,,,,24561,3980
39630,2,t,0,Finished,18,t,5,01:33:59.801,7,56,24562,3977
39631,5,,,,,t,,,,,24562,3978
39632,5,,,,,t,,,,,24562,3979
39633,5,,,,,t,,,,,24562,3980
39634,3,t,0,Finished,15,t,3,01:34:00.655,5,56,24563,3977
39635,3,,,,,t,,,,,24563,3978
39636,3,,,,,t,,,,,24563,3979
39637,3,,,,,t,,,,,24563,3980
39638,4,t,0,Finished,13,t,4,01:34:47.892,1,56,24564,3977
39639,4,,,,,t,,,,,24564,3978
39640,4,,,,,t,,,,,24564,3979
39641,4,,,,,t,,,,,24564,3980
39642,5,t,0,Finished,10,t,6,01:35:13.691,3,56,24565,3977
39643,6,,,,,t,,,,,24565,3978
39644,6,,,,,t,,,,,24565,3979
39645,6,,,,,t,,,,,24565,3980
39646,6,t,0,Finished,8,t,9,01:35:26.019,14,56,24566,3977
39647,9,,,,,t,,,,,24566,3978
39648,9,,,,,t,,,,,24566,3979
39649,9,,,,,t,,,,,24566,3980
39650,7,t,0,Finished,6,t,8,01:35:26.417,4,56,24567,3977
39651,8,,,,,t,,,,,24567,3978
39652,8,,,,,t,,,,,24567,3979
39653,8,,,,,t,,,,,24567,3980
39654,8,t,1,+1 Lap,4,t,7,,15,55,24568,3977
39655,7,,,,,t,,,,,24568,3978
39656,7,,,,,t,,,,,24568,3979
39657,7,,,,,t,,,,,24568,3980
39658,9,t,1,+1 Lap,2,t,11,,6,55,24569,3977
39659,11,,,,,t,,,,,24569,3978
39660,11,,,,,t,,,,,24569,3979
39661,10,t,1,+1 Lap,1,t,0,,11,55,24570,3977
39662,19,,,,,t,,,,,24570,3978
39663,11,t,1,+1 Lap,0,t,17,,9,55,24571,3977
39664,17,,,,,t,,,,,24571,3978
39665,12,t,1,+1 Lap,0,t,13,,8,55,24572,3977
39666,13,,,,,t,,,,,24572,3978
39667,13,,,,,t,,,,,24572,3979
39668,13,t,1,+1 Lap,0,t,14,,13,55,24573,3977
39669,14,,,,,t,,,,,24573,3978
39670,14,,,,,t,,,,,24573,3979
39671,14,t,1,+1 Lap,0,t,16,,10,55,24574,3977
39672,16,,,,,t,,,,,24574,3978
39673,15,t,1,+1 Lap,0,t,15,,18,55,24575,3977
39674,15,,,,,t,,,,,24575,3978
39675,15,,,,,t,,,,,24575,3979
39676,16,t,11,Suspension,0,t,10,,16,54,24576,3977
39677,10,,,,,t,,,,,24576,3978
39678,10,,,,,t,,,,,24576,3979
39679,10,,,,,t,,,,,24576,3980
39680,17,t,1,+2 Laps,0,t,18,,17,54,24577,3977
39681,18,,,,,t,,,,,24577,3978
39682,18,t,11,Brakes,0,t,12,,12,52,24578,3977
39683,12,,,,,t,,,,,24578,3978
39684,12,,,,,t,,,,,24578,3979
39685,19,f,11,Oil leak,0,t,19,,20,31,24579,3977
39686,20,,,,,t,,,,,24579,3978
39687,20,f,11,Suspension,0,t,2,,19,7,24580,3977
39688,2,,,,,t,,,,,24580,3978
39689,2,,,,,t,,,,,24580,3979
39690,2,,,,,t,,,,,24580,3980
39691,1,t,0,Finished,25,t,1,01:33:14.678,2,71,24581,3984
39692,1,,,,,t,,,,,24581,3985
39693,1,,,,,t,,,,,24581,3986
39694,1,,,,,t,,,,,24581,3987
39695,2,t,0,Finished,18,t,6,01:33:20.755,9,71,24582,3984
39696,7,,,,,t,,,,,24582,3985
39697,7,,,,,t,,,,,24582,3986
39698,7,,,,,t,,,,,24582,3987
39699,3,t,0,Finished,15,t,20,01:33:23.574,16,71,24583,3984
39700,20,,,,,t,,,,,24583,3985
39803,18,,,,,t,,,,,24613,3992
39701,4,t,0,Finished,12,t,8,01:33:24.13,15,71,24584,3984
39702,9,,,,,t,,,,,24584,3985
39703,9,,,,,t,,,,,24584,3986
39704,9,,,,,t,,,,,24584,3987
39705,5,t,0,Finished,10,t,12,01:33:24.879,14,71,24585,3984
39706,13,,,,,t,,,,,24585,3985
39707,13,,,,,t,,,,,24585,3986
39708,6,t,0,Finished,8,t,11,01:33:25.219,11,71,24586,3984
39709,12,,,,,t,,,,,24586,3985
39710,12,,,,,t,,,,,24586,3986
39711,7,t,0,Finished,6,t,3,01:33:25.817,3,71,24587,3984
39712,3,,,,,t,,,,,24587,3985
39713,3,,,,,t,,,,,24587,3986
39714,3,,,,,t,,,,,24587,3987
39715,8,t,0,Finished,4,t,10,01:33:25.882,7,71,24588,3984
39716,11,,,,,t,,,,,24588,3985
39717,11,,,,,t,,,,,24588,3986
39718,9,t,0,Finished,2,t,15,01:33:26.207,12,71,24589,3984
39719,15,,,,,t,,,,,24589,3985
39720,15,,,,,t,,,,,24589,3986
39721,10,t,0,Finished,1,t,16,01:33:26.609,8,71,24590,3984
39722,16,,,,,t,,,,,24590,3985
39723,11,t,0,Finished,0,t,9,01:33:27.41,17,71,24591,3984
39724,10,,,,,t,,,,,24591,3985
39725,10,,,,,t,,,,,24591,3986
39726,10,,,,,t,,,,,24591,3987
39727,12,t,0,Finished,0,t,18,01:33:28.277,19,71,24592,3984
39728,18,,,,,t,,,,,24592,3985
39729,13,t,0,Finished,0,t,7,01:33:28.925,18,71,24593,3984
39730,8,,,,,t,,,,,24593,3985
39731,8,,,,,t,,,,,24593,3986
39732,8,,,,,t,,,,,24593,3987
39733,14,t,0,Finished,0,t,5,01:33:29.605,4,71,24594,3984
39734,6,,,,,t,,,,,24594,3985
39735,6,,,,,t,,,,,24594,3986
39736,6,,,,,t,,,,,24594,3987
39737,15,t,0,Finished,0,t,13,01:33:32.737,13,71,24595,3984
39738,14,,,,,t,,,,,24595,3985
39739,14,,,,,t,,,,,24595,3986
39740,16,t,1,+1 Lap,0,t,19,,20,70,24596,3984
39741,19,,,,,t,,,,,24596,3985
39742,17,t,10,Collision,0,t,2,,5,65,24597,3984
39743,2,,,,,t,,,,,24597,3985
39744,2,,,,,t,,,,,24597,3986
39745,2,,,,,t,,,,,24597,3987
39746,18,t,10,Collision,0,t,14,,6,65,24598,3984
39747,4,,,,,t,,,,,24598,3985
39748,4,,,,,t,,,,,24598,3986
39749,4,,,,,t,,,,,24598,3987
39750,19,t,11,Suspension,0,t,17,,10,65,24599,3984
39751,17,,,,,t,,,,,24599,3985
39752,20,f,11,Power Unit,0,t,4,,1,51,24600,3984
39753,5,,,,,t,,,,,24600,3985
39754,5,,,,,t,,,,,24600,3986
39755,5,,,,,t,,,,,24600,3987
39756,1,t,0,Finished,26,t,1,01:34:05.715,1,55,24601,3991
39757,1,,,,,t,,,,,24601,3992
39758,1,,,,,t,,,,,24601,3993
39759,1,,,,,t,,,,,24601,3994
39760,2,t,0,Finished,18,t,2,01:34:22.487,5,55,24602,3991
39761,3,,,,,t,,,,,24602,3992
39762,3,,,,,t,,,,,24602,3993
39763,3,,,,,t,,,,,24602,3994
39764,3,t,0,Finished,15,t,3,01:34:49.15,4,55,24603,3991
39765,4,,,,,t,,,,,24603,3992
39766,4,,,,,t,,,,,24603,3993
39767,4,,,,,t,,,,,24603,3994
39768,4,t,0,Finished,12,t,20,01:34:50.094,2,55,24604,3991
39769,2,,,,,t,,,,,24604,3992
39770,2,,,,,t,,,,,24604,3993
39771,2,,,,,t,,,,,24604,3994
39772,5,t,0,Finished,10,t,4,01:35:10.072,3,55,24605,3991
39773,5,,,,,t,,,,,24605,3992
39774,5,,,,,t,,,,,24605,3993
39775,5,,,,,t,,,,,24605,3994
39776,6,t,0,Finished,8,t,5,01:35:14.92,8,55,24606,3991
39777,6,,,,,t,,,,,24606,3992
39778,6,,,,,t,,,,,24606,3993
39779,6,,,,,t,,,,,24606,3994
39780,7,t,1,+1 Lap,6,t,10,,11,54,24607,3991
39781,11,,,,,t,,,,,24607,3992
39782,11,,,,,t,,,,,24607,3993
39783,8,t,1,+1 Lap,4,t,6,,12,54,24608,3991
39784,7,,,,,t,,,,,24608,3992
39785,7,,,,,t,,,,,24608,3993
39786,7,,,,,t,,,,,24608,3994
39787,9,t,1,+1 Lap,2,t,13,,9,54,24609,3991
39788,14,,,,,t,,,,,24609,3992
39789,14,,,,,t,,,,,24609,3993
39790,10,t,1,+1 Lap,1,t,8,,7,54,24610,3991
39791,9,,,,,t,,,,,24610,3992
39792,9,,,,,t,,,,,24610,3993
39793,9,,,,,t,,,,,24610,3994
39794,11,t,1,+1 Lap,0,t,7,,6,54,24611,3991
39795,8,,,,,t,,,,,24611,3992
39796,8,,,,,t,,,,,24611,3993
39797,8,,,,,t,,,,,24611,3994
39798,12,t,1,+1 Lap,0,t,9,,16,54,24612,3991
39799,10,,,,,t,,,,,24612,3992
39800,10,,,,,t,,,,,24612,3993
39801,10,,,,,t,,,,,24612,3994
39802,13,t,1,+1 Lap,0,t,17,,14,54,24613,3991
39804,14,t,1,+1 Lap,0,t,14,,19,54,24614,3991
39805,15,,,,,t,,,,,24614,3992
39806,15,,,,,t,,,,,24614,3993
39807,15,t,1,+1 Lap,0,t,15,,18,54,24615,3991
39808,16,,,,,t,,,,,24615,3992
39809,16,t,1,+1 Lap,0,t,16,,15,54,24616,3991
39810,17,,,,,t,,,,,24616,3992
39811,17,t,1,+1 Lap,0,t,18,,13,54,24617,3991
39812,19,,,,,t,,,,,24617,3992
39813,18,t,1,+2 Laps,0,t,11,,10,53,24618,3991
39814,12,,,,,t,,,,,24618,3992
39815,12,,,,,t,,,,,24618,3993
39816,19,t,1,+2 Laps,0,t,19,,20,53,24619,3991
39817,20,,,,,t,,,,,24619,3992
39818,20,f,11,Brakes,0,t,12,,17,45,24620,3991
39819,13,,,,,t,,,,,24620,3992
39820,13,,,,,t,,,,,24620,3993
39821,1,t,0,Finished,25,t,1,01:30:55.739,2,71,24621,3998
39822,1,,,,,t,,,,,24621,3999
39823,1,,,,,t,,,,,24621,4000
39824,1,,,,,t,,,,,24621,4001
39825,2,t,0,Finished,18,t,7,01:30:58.439,4,71,24622,3998
39826,7,,,,,t,,,,,24622,3999
39827,7,,,,,t,,,,,24622,4000
39828,7,,,,,t,,,,,24622,4001
39829,3,t,0,Finished,16,t,3,01:31:01.23,1,71,24623,3998
39830,4,,,,,t,,,,,24623,3999
39831,4,,,,,t,,,,,24623,4000
39832,4,,,,,t,,,,,24623,4001
39833,4,t,0,Finished,12,t,5,01:31:01.428,3,71,24624,3998
39834,2,,,,,t,,,,,24624,3999
39835,2,,,,,t,,,,,24624,4000
39836,2,,,,,t,,,,,24624,4001
39837,5,t,0,Finished,10,t,8,01:31:04.642,5,71,24625,3998
39838,8,,,,,t,,,,,24625,3999
39839,8,,,,,t,,,,,24625,4000
39840,8,,,,,t,,,,,24625,4001
39841,6,t,0,Finished,8,t,6,01:31:10.831,6,71,24626,3998
39842,6,,,,,t,,,,,24626,3999
39843,6,,,,,t,,,,,24626,4000
39844,6,,,,,t,,,,,24626,4001
39845,7,t,0,Finished,6,t,12,01:31:12.421,11,71,24627,3998
39846,12,,,,,t,,,,,24627,3999
39847,12,,,,,t,,,,,24627,4000
39848,8,t,0,Finished,4,t,14,01:31:13.195,10,71,24628,3998
39849,14,,,,,t,,,,,24628,3999
39850,14,,,,,t,,,,,24628,4000
39851,9,t,0,Finished,2,t,18,01:31:16.885,9,71,24629,3998
39852,18,,,,,t,,,,,24629,3999
39853,10,t,0,Finished,1,t,11,01:31:20.284,8,71,24630,3998
39854,11,,,,,t,,,,,24630,3999
39855,11,,,,,t,,,,,24630,4000
39856,11,t,0,Finished,0,t,20,01:31:27.389,16,71,24631,3998
39857,20,,,,,t,,,,,24631,3999
39858,12,t,11,Suspension,0,t,13,,13,69,24632,3998
39859,13,,,,,t,,,,,24632,3999
39860,13,,,,,t,,,,,24632,4000
39861,13,t,11,Electronics,0,t,4,,7,67,24633,3998
39862,5,,,,,t,,,,,24633,3999
39863,5,,,,,t,,,,,24633,4000
39864,5,,,,,t,,,,,24633,4001
39865,14,f,11,Wheel,0,t,19,,12,53,24634,3998
39866,19,,,,,t,,,,,24634,3999
39867,15,f,11,Fuel pressure,0,t,17,,14,49,24635,3998
39868,17,,,,,t,,,,,24635,3999
39869,16,f,11,Brakes,0,t,15,,17,49,24636,3998
39870,15,,,,,t,,,,,24636,3999
39871,15,,,,,t,,,,,24636,4000
39872,17,f,11,Brakes,0,t,16,,20,24,24637,3998
39873,16,,,,,t,,,,,24637,3999
39874,18,f,11,Engine,0,t,9,,18,20,24638,3998
39875,9,,,,,t,,,,,24638,3999
39876,9,,,,,t,,,,,24638,4000
39877,9,,,,,t,,,,,24638,4001
39878,19,f,11,Overheating,0,t,10,,19,17,24639,3998
39879,10,,,,,t,,,,,24639,3999
39880,10,,,,,t,,,,,24639,4000
39881,10,,,,,t,,,,,24639,4001
39882,20,f,11,Electronics,0,t,2,,15,11,24640,3998
39883,3,,,,,t,,,,,24640,3999
39884,3,,,,,t,,,,,24640,4000
39885,3,,,,,t,,,,,24640,4001
39886,1,t,0,Finished,25,t,1,01:22:50.683,3,71,24641,4005
39887,1,,,,,t,,,,,24641,4006
39888,1,,,,,t,,,,,24641,4007
39889,1,,,,,t,,,,,24641,4008
39890,2,t,0,Finished,18,t,4,01:23:04.402,7,71,24642,4005
39891,4,,,,,t,,,,,24642,4006
39892,4,,,,,t,,,,,24642,4007
39893,4,,,,,t,,,,,24642,4008
39894,3,t,0,Finished,15,t,2,01:23:24.381,2,71,24643,4005
39895,2,,,,,t,,,,,24643,4006
39896,2,,,,,t,,,,,24643,4007
39897,2,,,,,t,,,,,24643,4008
39898,4,t,0,Finished,12,t,6,01:23:35.083,6,71,24644,4005
39899,7,,,,,t,,,,,24644,4006
39900,7,,,,,t,,,,,24644,4007
39901,7,,,,,t,,,,,24644,4008
39902,5,t,0,Finished,10,t,9,01:23:52.153,5,71,24645,4005
39903,6,,,,,t,,,,,24645,4006
39904,6,,,,,t,,,,,24645,4007
39905,6,,,,,t,,,,,24645,4008
39906,6,t,0,Finished,8,t,17,01:23:53.07,4,71,24646,4005
39907,17,,,,,t,,,,,24646,4006
39908,7,t,0,Finished,6,t,12,01:23:53.136,10,71,24647,4005
39909,13,,,,,t,,,,,24647,4006
39910,13,,,,,t,,,,,24647,4007
39911,8,t,0,Finished,4,t,8,01:23:53.274,9,71,24648,4005
39912,9,,,,,t,,,,,24648,4006
39913,9,,,,,t,,,,,24648,4007
39914,9,,,,,t,,,,,24648,4008
39915,9,t,1,+1 Lap,3,t,3,,1,70,24649,4005
39916,3,,,,,t,,,,,24649,4006
39917,3,,,,,t,,,,,24649,4007
39918,3,,,,,t,,,,,24649,4008
39919,10,t,1,+1 Lap,1,t,13,,13,70,24650,4005
39920,14,,,,,t,,,,,24650,4006
39921,14,,,,,t,,,,,24650,4007
39922,11,t,1,+1 Lap,0,t,16,,14,70,24651,4005
39923,16,,,,,t,,,,,24651,4006
39924,12,t,1,+1 Lap,0,t,15,,11,70,24652,4005
39925,15,,,,,t,,,,,24652,4006
39926,15,,,,,t,,,,,24652,4007
39927,13,t,1,+1 Lap,0,t,0,,12,70,24653,4005
39928,20,,,,,t,,,,,24653,4006
39929,14,t,1,+1 Lap,0,t,19,,15,70,24654,4005
39930,19,,,,,t,,,,,24654,4006
39931,15,t,1,+1 Lap,0,t,7,,8,70,24655,4005
39932,8,,,,,t,,,,,24655,4006
39933,8,,,,,t,,,,,24655,4007
39934,8,,,,,t,,,,,24655,4008
39935,16,t,1,+2 Laps,0,t,11,,16,69,24656,4005
39936,12,,,,,t,,,,,24656,4006
39937,12,,,,,t,,,,,24656,4007
39938,17,t,1,+2 Laps,0,t,18,,17,69,24657,4005
39939,18,,,,,t,,,,,24657,4006
39940,18,f,11,Overheating,0,t,5,,18,25,24658,4005
39941,5,,,,,t,,,,,24658,4006
39942,5,,,,,t,,,,,24658,4007
39943,5,,,,,t,,,,,24658,4008
39944,19,f,10,Collision damage,0,t,14,,19,4,24659,4005
39945,11,,,,,t,,,,,24659,4006
39946,11,,,,,t,,,,,24659,4007
39947,20,f,10,Collision damage,0,t,10,,0,1,24660,4005
39948,10,,,,,t,,,,,24660,4006
39949,10,,,,,t,,,,,24660,4007
39950,10,,,,,t,,,,,24660,4008
39951,1,t,0,Finished,26,t,1,01:36:12.473,1,70,24661,4012
39952,1,,,,,t,,,,,24661,4013
39953,1,,,,,t,,,,,24661,4014
39954,1,,,,,t,,,,,24661,4015
39955,2,t,0,Finished,18,t,7,01:36:21.175,4,70,24662,4012
39956,7,,,,,t,,,,,24662,4013
39957,7,,,,,t,,,,,24662,4014
39958,7,,,,,t,,,,,24662,4015
39959,3,t,0,Finished,15,t,2,01:36:21.925,2,70,24663,4012
39960,2,,,,,t,,,,,24663,4013
39961,2,,,,,t,,,,,24663,4014
39962,2,,,,,t,,,,,24663,4015
39963,4,t,0,Finished,12,t,3,01:37:10.052,3,70,24664,4012
39964,3,,,,,t,,,,,24664,4013
39965,3,,,,,t,,,,,24664,4014
39966,3,,,,,t,,,,,24664,4015
39967,5,t,0,Finished,10,t,13,01:37:30.789,5,70,24665,4012
39968,13,,,,,t,,,,,24665,4013
39969,13,,,,,t,,,,,24665,4014
39970,6,t,1,+1 Lap,8,t,5,,14,69,24666,4012
39971,5,,,,,t,,,,,24666,4013
39972,5,,,,,t,,,,,24666,4014
39973,5,,,,,t,,,,,24666,4015
39974,7,t,1,+1 Lap,6,t,4,,10,69,24667,4012
39975,4,,,,,t,,,,,24667,4013
39976,4,,,,,t,,,,,24667,4014
39977,4,,,,,t,,,,,24667,4015
39978,8,t,1,+1 Lap,4,t,11,,7,69,24668,4012
39979,11,,,,,t,,,,,24668,4013
39980,11,,,,,t,,,,,24668,4014
39981,9,t,1,+1 Lap,2,t,9,,15,69,24669,4012
39982,9,,,,,t,,,,,24669,4013
39983,9,,,,,t,,,,,24669,4014
39984,9,,,,,t,,,,,24669,4015
39985,10,t,1,+1 Lap,1,t,0,,6,69,24670,4012
39986,16,,,,,t,,,,,24670,4013
39987,11,t,1,+1 Lap,0,t,6,,16,69,24671,4012
39988,6,,,,,t,,,,,24671,4013
39989,6,,,,,t,,,,,24671,4014
39990,6,,,,,t,,,,,24671,4015
39991,12,t,1,+1 Lap,0,t,17,,18,69,24672,4012
39992,17,,,,,t,,,,,24672,4013
39993,13,t,1,+1 Lap,0,t,8,,8,69,24673,4012
39994,8,,,,,t,,,,,24673,4013
39995,8,,,,,t,,,,,24673,4014
39996,8,,,,,t,,,,,24673,4015
39997,14,t,1,+1 Lap,0,t,14,,13,69,24674,4012
39998,14,,,,,t,,,,,24674,4013
39999,14,,,,,t,,,,,24674,4014
40000,15,t,1,+1 Lap,0,t,20,,17,69,24675,4012
40001,20,,,,,t,,,,,24675,4013
40002,16,t,1,+1 Lap,0,t,0,,12,69,24676,4012
40003,18,,,,,t,,,,,24676,4013
40004,17,t,1,+1 Lap,0,t,19,,11,69,24677,4012
40005,19,,,,,t,,,,,24677,4013
40006,18,t,1,+1 Lap,0,t,12,,9,69,24678,4012
40007,12,,,,,t,,,,,24678,4013
40008,12,,,,,t,,,,,24678,4014
40009,19,t,1,+5 Laps,0,t,15,,19,65,24679,4012
40010,15,,,,,t,,,,,24679,4013
40011,15,,,,,t,,,,,24679,4014
40012,20,f,11,Engine,0,t,10,,20,15,24680,4012
40013,10,,,,,t,,,,,24680,4013
40014,10,,,,,t,,,,,24680,4014
40015,1,t,0,Finished,25,t,1,01:28:01.283,3,52,24681,4019
40016,1,,,,,t,,,,,24681,4020
40017,1,,,,,t,,,,,24681,4021
40018,1,,,,,t,,,,,24681,4022
40019,2,t,0,Finished,19,t,3,01:28:07.139,1,52,24682,4019
40020,3,,,,,t,,,,,24682,4020
40021,3,,,,,t,,,,,24682,4021
40022,3,,,,,t,,,,,24682,4022
40023,3,t,0,Finished,15,t,4,01:28:19.757,9,52,24683,4019
40024,4,,,,,t,,,,,24683,4020
40025,4,,,,,t,,,,,24683,4021
40026,4,,,,,t,,,,,24683,4022
40027,4,t,0,Finished,12,t,8,01:28:20.933,5,52,24684,4019
40028,8,,,,,t,,,,,24684,4020
40029,8,,,,,t,,,,,24684,4021
40030,8,,,,,t,,,,,24684,4022
40031,5,t,0,Finished,10,t,5,01:28:23.56,12,52,24685,4019
40032,5,,,,,t,,,,,24685,4020
40033,5,,,,,t,,,,,24685,4021
40034,5,,,,,t,,,,,24685,4022
40035,6,t,0,Finished,8,t,9,01:28:28.22,6,52,24686,4019
40036,9,,,,,t,,,,,24686,4020
40037,9,,,,,t,,,,,24686,4021
40038,9,,,,,t,,,,,24686,4022
40039,7,t,0,Finished,6,t,11,01:28:32.471,7,52,24687,4019
40040,11,,,,,t,,,,,24687,4020
40041,11,,,,,t,,,,,24687,4021
40042,8,t,0,Finished,4,t,12,01:28:33.953,2,52,24688,4019
40043,12,,,,,t,,,,,24688,4020
40044,12,,,,,t,,,,,24688,4021
40045,9,t,0,Finished,2,t,6,01:28:38.594,13,52,24689,4019
40046,6,,,,,t,,,,,24689,4020
40047,6,,,,,t,,,,,24689,4021
40048,6,,,,,t,,,,,24689,4022
40049,10,t,0,Finished,1,t,10,01:28:43.14,15,52,24690,4019
40050,10,,,,,t,,,,,24690,4020
40051,10,,,,,t,,,,,24690,4021
40052,10,,,,,t,,,,,24690,4022
40053,11,t,0,Finished,0,t,2,01:28:43.45,4,52,24691,4019
40054,2,,,,,t,,,,,24691,4020
40055,2,,,,,t,,,,,24691,4021
40056,2,,,,,t,,,,,24691,4022
40057,12,t,0,Finished,0,t,20,01:28:53.287,16,52,24692,4019
40058,15,,,,,t,,,,,24692,4020
40059,15,,,,,t,,,,,24692,4021
40060,13,t,0,Finished,0,t,7,01:28:54.653,10,52,24693,4019
40061,7,,,,,t,,,,,24693,4020
40062,7,,,,,t,,,,,24693,4021
40063,7,,,,,t,,,,,24693,4022
40064,14,t,0,Finished,0,t,15,01:28:55.488,17,52,24694,4019
40065,17,,,,,t,,,,,24694,4020
40066,15,t,0,Finished,0,t,18,01:28:55.832,14,52,24695,4019
40067,20,,,,,t,,,,,24695,4020
40068,16,t,0,Finished,0,t,17,01:28:56.333,8,52,24696,4019
40069,19,,,,,t,,,,,24696,4020
40070,17,t,1,+1 Lap,0,t,16,,11,51,24697,4019
40071,18,,,,,t,,,,,24697,4020
40072,18,f,10,Accident,0,t,19,,18,11,24698,4019
40073,14,,,,,t,,,,,24698,4020
40074,14,,,,,t,,,,,24698,4021
40075,19,f,10,Collision,0,t,14,,0,1,24699,4019
40076,16,,,,,t,,,,,24699,4020
40077,20,f,30,Power Unit,0,t,13,,0,0,24700,4019
40078,13,,,,,t,,,,,24700,4020
40079,13,,,,,t,,,,,24700,4021
40080,1,t,0,Finished,25,t,4,01:19:41.993,2,52,24701,4026
40081,4,,,,,t,,,,,24701,4027
40082,4,,,,,t,,,,,24701,4028
40083,4,,,,,t,,,,,24701,4029
40084,2,t,0,Finished,19,t,2,01:19:53.319,1,52,24702,4026
40085,2,,,,,t,,,,,24702,4027
40086,2,,,,,t,,,,,24702,4028
40087,2,,,,,t,,,,,24702,4029
40088,3,t,0,Finished,15,t,1,01:20:01.224,4,52,24703,4026
40089,1,,,,,t,,,,,24703,4027
40090,1,,,,,t,,,,,24703,4028
40091,1,,,,,t,,,,,24703,4029
40092,4,t,0,Finished,12,t,8,01:20:11.282,8,52,24704,4026
40093,8,,,,,t,,,,,24704,4027
40094,8,,,,,t,,,,,24704,4028
40095,8,,,,,t,,,,,24704,4029
40096,5,t,0,Finished,10,t,9,01:20:21.139,3,52,24705,4026
40097,9,,,,,t,,,,,24705,4027
40098,9,,,,,t,,,,,24705,4028
40099,9,,,,,t,,,,,24705,4029
40100,6,t,0,Finished,8,t,6,01:20:24.531,15,52,24706,4026
40101,6,,,,,t,,,,,24706,4027
40102,6,,,,,t,,,,,24706,4028
40103,6,,,,,t,,,,,24706,4029
40104,7,t,0,Finished,6,t,3,01:20:37.944,6,52,24707,4026
40105,3,,,,,t,,,,,24707,4027
40106,3,,,,,t,,,,,24707,4028
40107,3,,,,,t,,,,,24707,4029
40108,8,t,0,Finished,4,t,14,01:20:46.766,10,52,24708,4026
40109,11,,,,,t,,,,,24708,4027
40110,11,,,,,t,,,,,24708,4028
40111,9,t,0,Finished,2,t,10,01:20:47.537,11,52,24709,4026
40112,10,,,,,t,,,,,24709,4027
40113,10,,,,,t,,,,,24709,4028
40114,10,,,,,t,,,,,24709,4029
40115,10,t,0,Finished,1,t,16,01:20:51.662,12,52,24710,4026
40116,16,,,,,t,,,,,24710,4027
40117,11,t,0,Finished,0,t,7,01:20:52.635,7,52,24711,4026
40118,7,,,,,t,,,,,24711,4027
40119,7,,,,,t,,,,,24711,4028
40120,7,,,,,t,,,,,24711,4029
40121,12,t,0,Finished,0,t,11,01:20:55.363,13,52,24712,4026
40122,12,,,,,t,,,,,24712,4027
40123,12,,,,,t,,,,,24712,4028
40124,13,t,0,Finished,0,t,12,01:20:56.063,9,52,24713,4026
40125,13,,,,,t,,,,,24713,4027
40126,13,,,,,t,,,,,24713,4028
40127,14,t,1,+1 Lap,0,t,5,,16,51,24714,4026
40128,5,,,,,t,,,,,24714,4027
40129,5,,,,,t,,,,,24714,4028
40130,5,,,,,t,,,,,24714,4029
40131,15,t,1,+1 Lap,0,t,20,,18,51,24715,4026
40132,20,,,,,t,,,,,24715,4027
40133,16,t,1,+1 Lap,0,t,13,,14,51,24716,4026
40134,14,,,,,t,,,,,24716,4027
40135,14,,,,,t,,,,,24716,4028
40136,17,t,1,+1 Lap,0,t,19,,19,51,24717,4026
40137,19,,,,,t,,,,,24717,4027
40138,18,t,1,+1 Lap,0,t,15,,17,51,24718,4026
40139,15,,,,,t,,,,,24718,4027
40140,15,,,,,t,,,,,24718,4028
40141,19,t,1,+1 Lap,0,t,18,,5,51,24719,4026
40142,18,,,,,t,,,,,24719,4027
40143,20,f,11,Retired,0,t,17,,20,43,24720,4026
40144,17,,,,,t,,,,,24720,4027
40145,1,t,0,Finished,25,t,1,01:31:45.279,2,66,24721,4033
40146,1,,,,,t,,,,,24721,4034
40147,1,,,,,t,,,,,24721,4035
40148,1,,,,,t,,,,,24721,4036
40149,2,t,0,Finished,18,t,3,01:32:09.456,4,66,24722,4033
40150,3,,,,,t,,,,,24722,4034
40151,3,,,,,t,,,,,24722,4035
40152,3,,,,,t,,,,,24722,4036
40153,3,t,0,Finished,16,t,2,01:32:30.031,1,66,24723,4033
40154,2,,,,,t,,,,,24723,4034
40155,2,,,,,t,,,,,24723,4035
40156,2,,,,,t,,,,,24723,4036
40157,4,t,1,+1 Lap,12,t,5,,8,65,24724,4033
40158,5,,,,,t,,,,,24724,4034
40159,5,,,,,t,,,,,24724,4035
40160,5,,,,,t,,,,,24724,4036
