reference,year,number,name,date,time,circuit_id
407,1986,4,Monaco Grand Prix,1986-05-11,\N,6
408,1986,5,Belgian Grand Prix,1986-05-25,\N,13
409,1986,6,Canadian Grand Prix,1986-06-15,\N,7
410,1986,7,Detroit Grand Prix,1986-06-22,\N,37
411,1986,8,French Grand Prix,1986-07-06,\N,34
412,1986,9,British Grand Prix,1986-07-13,\N,38
413,1986,10,German Grand Prix,1986-07-27,\N,10
414,1986,11,Hungarian Grand Prix,1986-08-10,\N,11
415,1986,12,Austrian Grand Prix,1986-08-17,\N,70
416,1986,13,Italian Grand Prix,1986-09-07,\N,14
417,1986,14,Portuguese Grand Prix,1986-09-21,\N,27
418,1986,15,Mexican Grand Prix,1986-10-12,\N,32
419,1986,16,Australian Grand Prix,1986-10-26,\N,29
420,1985,1,Brazilian Grand Prix,1985-04-07,\N,36
421,1985,2,Portuguese Grand Prix,1985-04-21,\N,27
422,1985,3,San Marino Grand Prix,1985-05-05,\N,21
423,1985,4,Monaco Grand Prix,1985-05-19,\N,6
424,1985,5,Canadian Grand Prix,1985-06-16,\N,7
425,1985,6,Detroit Grand Prix,1985-06-23,\N,37
426,1985,7,French Grand Prix,1985-07-07,\N,34
427,1985,8,British Grand Prix,1985-07-21,\N,9
428,1985,9,German Grand Prix,1985-08-04,\N,20
429,1985,10,Austrian Grand Prix,1985-08-18,\N,70
430,1985,11,Dutch Grand Prix,1985-08-25,\N,39
431,1985,12,Italian Grand Prix,1985-09-08,\N,14
432,1985,13,Belgian Grand Prix,1985-09-15,\N,13
433,1985,14,European Grand Prix,1985-10-06,\N,38
434,1985,15,South African Grand Prix,1985-10-19,\N,30
435,1985,16,Australian Grand Prix,1985-11-03,\N,29
436,1984,1,Brazilian Grand Prix,1984-03-25,\N,36
437,1984,2,South African Grand Prix,1984-04-07,\N,30
438,1984,3,Belgian Grand Prix,1984-04-29,\N,40
439,1984,4,San Marino Grand Prix,1984-05-06,\N,21
440,1984,5,French Grand Prix,1984-05-20,\N,41
441,1984,6,Monaco Grand Prix,1984-06-03,\N,6
442,1984,7,Canadian Grand Prix,1984-06-17,\N,7
443,1984,8,Detroit Grand Prix,1984-06-24,\N,37
444,1984,9,Dallas Grand Prix,1984-07-08,\N,42
445,1984,10,British Grand Prix,1984-07-22,\N,38
446,1984,11,German Grand Prix,1984-08-05,\N,10
447,1984,12,Austrian Grand Prix,1984-08-19,\N,70
448,1984,13,Dutch Grand Prix,1984-08-26,\N,39
449,1984,14,Italian Grand Prix,1984-09-09,\N,14
450,1984,15,European Grand Prix,1984-10-07,\N,20
451,1984,16,Portuguese Grand Prix,1984-10-21,\N,27
452,1983,1,Brazilian Grand Prix,1983-03-13,\N,36
453,1983,2,United States Grand Prix West,1983-03-27,\N,43
454,1983,3,French Grand Prix,1983-04-17,\N,34
455,1983,4,San Marino Grand Prix,1983-05-01,\N,21
456,1983,5,Monaco Grand Prix,1983-05-15,\N,6
457,1983,6,Belgian Grand Prix,1983-05-22,\N,13
458,1983,7,Detroit Grand Prix,1983-06-05,\N,37
459,1983,8,Canadian Grand Prix,1983-06-12,\N,7
